mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_119080,CCCC1(COC1)CC,2.57279,0.9948,0.82159,1.8603,88.71,-0.2412,0.0722,0.3134,1559.8732,0.227697,-389.477164,-389.466359,-389.465415,-389.514415,39.063
gdb_12697,OC1CCC(O)C1=O,3.12361,1.97762,1.35112,1.6996,60.2,-0.2587,-0.0424,0.2163,895.9391,0.130317,-420.899178,-420.891438,-420.890494,-420.931594,28.808
gdb_58349,CC(C)C(C=O)C(C)C,1.81339,1.29065,0.91433,2.7278,89.15,-0.2417,-0.0207,0.221,1446.5319,0.225492,-389.513932,-389.502396,-389.501452,-389.550714,42.078
gdb_106577,CCC12CC(C=C1)C2C,2.56883,1.39757,1.22245,0.2203,89.86,-0.2207,0.0157,0.2364,1189.9815,0.206131,-351.133371,-351.124524,-351.12358,-351.166424,35.425
gdb_107990,COC12CC3C1CCC23,2.7196,1.59994,1.35129,0.9918,82.16,-0.2441,0.0959,0.3401,1063.6816,0.184236,-387.053701,-387.045812,-387.044867,-387.086119,31.206
gdb_83921,OC1C2OCOC12C#N,2.70752,1.5583,1.24927,3.8356,62.76,-0.263,-0.0046,0.2584,988.1256,0.100776,-473.790682,-473.783129,-473.782185,-473.822809,28.059
gdb_103564,CCC1(C)NC(=O)C1C,2.36001,1.18755,1.07896,3.8863,82.86,-0.2392,0.0389,0.2781,1295.7946,0.192382,-404.388923,-404.378593,-404.377649,-404.424101,38.298
gdb_18430,O=CC1C2OC(=O)C12,4.30701,1.54564,1.38419,3.7322,55.55,-0.2646,-0.0483,0.2163,863.2066,0.08267,-418.471563,-418.464955,-418.464011,-418.502884,23.703
gdb_72286,CC12OC3COCC1C23,3.15575,1.61801,1.36885,2.5121,74.94,-0.2239,0.0786,0.3024,1004.7808,0.16047,-422.988911,-422.981443,-422.980499,-423.020432,29.877
gdb_72333,OC12CC=CC11CC2O1,2.65398,2.04355,1.63728,2.0267,72.86,-0.2286,-0.0094,0.2192,878.782,0.136193,-421.739219,-421.732344,-421.7314,-421.769843,29.054
gdb_30413,CN=C1NC(=O)NC=C1,2.91923,1.38297,0.94398,2.1261,78.0,-0.2208,-0.0239,0.1969,1188.4146,0.126572,-434.141067,-434.133033,-434.132089,-434.17378,30.067
gdb_125887,CC1CC1N1C=NN=C1,3.63544,1.20089,1.04972,6.1409,75.96,-0.246,0.0165,0.2625,1172.6318,0.149416,-398.129384,-398.121381,-398.120437,-398.162645,29.785
gdb_10238,CC(=O)C(C#N)C#N,2.2285,1.94397,1.34424,1.9575,59.9,-0.2969,-0.0705,0.2264,920.4764,0.081285,-377.552762,-377.544317,-377.543373,-377.587058,27.784
gdb_132345,FC1=NC(F)=NC(=O)O1,2.06402,1.58585,0.89681,1.5194,50.23,-0.3104,-0.0915,0.2189,1089.5278,0.039955,-573.94274,-573.935183,-573.934239,-573.976624,24.796
gdb_105132,CNC1(CC1C#N)C#C,2.43478,1.26168,0.99449,3.6271,81.26,-0.2351,-0.0001,0.235,1226.7056,0.133941,-380.821301,-380.811821,-380.810876,-380.855609,34.679
gdb_94309,OC1COC11CC(=O)C1,3.21372,1.20651,1.03452,4.1999,68.95,-0.2362,-0.0206,0.2156,1161.7554,0.133341,-458.944268,-458.935706,-458.934762,-458.978256,31.716
gdb_75638,CC1C(=O)C2(O)CC12O,1.97116,1.83107,1.16483,3.63,70.12,-0.2302,-0.0114,0.2188,1083.3282,0.132644,-458.941513,-458.932158,-458.931214,-458.975271,34.394
gdb_104583,CCC1(CC1)CC(=O)N,2.13315,1.28774,0.98487,3.482,81.86,-0.2388,0.0293,0.2681,1311.7533,0.193335,-404.379721,-404.369504,-404.368559,-404.415515,38.095
gdb_11899,CC1=CCC2(CO2)C1,4.73621,1.46053,1.24133,1.8345,74.12,-0.2338,0.029,0.2628,1015.0536,0.153448,-347.805675,-347.798056,-347.797111,-347.837683,29.092
gdb_67894,CC12CC(=O)C1C1CN21,2.49916,1.7903,1.3409,1.4895,75.16,-0.2312,-0.0306,0.2007,999.5725,0.146779,-401.897672,-401.889959,-401.889015,-401.929538,30.809
gdb_128896,c1c(nncn1)CC#N,4.64902,1.10119,0.89929,1.3098,69.34,-0.2547,-0.0907,0.164,1179.4688,0.090708,-411.807397,-411.80007,-411.799126,-411.840976,25.759
gdb_42039,C1CC2CCOCCC12,2.77781,1.40672,1.03903,1.2304,85.05,-0.2417,0.0787,0.3204,1218.4747,0.208907,-388.287764,-388.279619,-388.278675,-388.320526,32.643
gdb_34502,C#CC1=CC2C3CC1C23,4.23167,1.32267,1.16614,1.1843,87.51,-0.2109,-0.019,0.1919,1064.7429,0.13716,-347.498036,-347.49105,-347.490105,-347.529195,28.919
gdb_46786,O=C1CC2CC(CN1)O2,2.90221,1.5986,1.24266,3.4856,71.59,-0.2374,0.0298,0.2673,1022.2968,0.150678,-439.109042,-439.101669,-439.100725,-439.141105,28.845
gdb_96717,CC(=O)C(=NC)NC=N,2.46077,1.11474,0.77459,3.9507,83.41,-0.231,-0.0728,0.1582,1449.4157,0.145833,-435.286657,-435.276561,-435.275617,-435.322671,35.188
gdb_125276,CC1=CC2=C(N1)ON=N2,3.23858,1.26221,0.9134,4.5612,80.87,-0.1954,-0.0634,0.132,1195.2999,0.10071,-432.900103,-432.891911,-432.890966,-432.932978,29.707
gdb_56203,C1C(CO1)NCC(=O)N,3.74065,0.88266,0.79509,4.9729,72.1,-0.2244,0.0227,0.247,1452.0218,0.158999,-456.338521,-456.328761,-456.327816,-456.374985,34.144
gdb_15696,COC1COCC1=O,3.51308,1.7633,1.24338,1.1761,61.24,-0.231,-0.0342,0.1968,954.4929,0.129572,-420.875227,-420.867356,-420.866412,-420.907894,27.924
gdb_69685,OC12CC1N1C(C#C)C21,3.43603,1.30975,1.18842,2.4311,75.19,-0.222,0.0198,0.2417,1061.4917,0.122159,-400.603858,-400.595937,-400.594993,-400.635914,31.476
gdb_72706,CC12CCC11CC2C=C1,2.56884,2.02951,1.5972,0.2599,87.51,-0.2135,0.0142,0.2277,951.7108,0.183334,-349.845681,-349.838382,-349.837437,-349.876479,32.015
gdb_5161,N=COC1=CC=CO1,7.60172,1.26826,1.113,2.997,63.53,-0.2204,0.0022,0.2226,1003.8999,0.095972,-398.6149,-398.608018,-398.607074,-398.646971,24.489
gdb_41089,C1OC2C3CC4CN3C124,3.3284,1.83424,1.68081,1.3892,75.75,-0.225,0.0279,0.2529,873.1829,0.149513,-401.787175,-401.780871,-401.779926,-401.817398,27.03
gdb_73168,CC12CCN1CC2C#N,2.45302,1.43477,1.33158,2.7232,79.06,-0.2308,0.0196,0.2504,1081.3425,0.160094,-382.048397,-382.040066,-382.039122,-382.081512,31.761
gdb_91951,CC1CC2OC2C11CO1,2.38101,1.73341,1.3698,0.6322,74.02,-0.2571,0.0704,0.3276,1021.6335,0.15939,-423.00058,-422.9927,-422.991756,-423.032703,31.058
gdb_80185,CC1C2OC(=O)C(O)C12,2.35394,1.71088,1.44227,3.0366,67.16,-0.2674,-0.0042,0.2632,979.8071,0.136196,-458.985441,-458.977398,-458.976453,-459.018002,30.503
gdb_51056,O=CCC12C3C4C(C13)N24,4.66905,1.09434,1.06445,3.053,71.59,-0.224,-0.0225,0.2015,1136.7666,0.12275,-400.628143,-400.620646,-400.619702,-400.661248,27.909
gdb_80961,CC12OC(C1O)C2C=O,2.44964,1.4299,1.24315,2.6325,69.35,-0.2519,-0.0437,0.2082,1075.981,0.133366,-458.902763,-458.894217,-458.893273,-458.936157,31.821
gdb_28367,Cc1cnc([nH]c1=O)C,3.18419,1.36901,0.96885,2.4051,79.96,-0.2307,-0.0366,0.1941,1198.8372,0.13698,-418.101025,-418.092502,-418.091558,-418.134317,31.181
gdb_5540,CNc1c(nco1)O,3.38079,1.90111,1.29041,0.9672,60.97,-0.192,0.0109,0.2029,911.1345,0.107874,-415.875088,-415.867437,-415.866493,-415.907581,27.173
gdb_71754,CC12CC3C4OC(C13)C24,3.35639,1.83824,1.54351,1.8532,77.01,-0.2359,0.0718,0.3077,915.7705,0.161512,-385.837688,-385.831204,-385.830259,-385.86808,27.849
gdb_123526,c1cncn2c1ccn2,4.14384,1.73948,1.22518,2.201,77.84,-0.2238,-0.0414,0.1824,927.3084,0.106212,-395.791369,-395.785591,-395.784647,-395.821416,23.335
gdb_99519,CCC(C#C)C(C)(C)O,1.94036,1.32125,0.9772,1.3201,87.41,-0.259,0.055,0.314,1360.5806,0.201237,-388.270286,-388.258883,-388.257939,-388.305999,42.714
gdb_110804,CCC1C2CC(C#N)N12,2.26738,1.45174,1.07278,3.912,79.37,-0.2494,0.0095,0.2589,1188.2026,0.159778,-382.036857,-382.028181,-382.027237,-382.070501,32.325
gdb_44171,N=C1OC2C(CC12)C#C,5.42282,1.02552,0.94026,2.0365,76.88,-0.2611,0.0175,0.2786,1218.0297,0.124112,-400.69566,-400.687891,-400.686947,-400.728265,29.698
gdb_127962,CN=C1OC(=O)NN=C1,2.99248,1.42529,0.97122,1.4175,71.37,-0.2578,-0.0677,0.1901,1136.6197,0.101307,-470.035032,-470.026941,-470.025997,-470.068981,28.298
gdb_104525,CCC1(CCC1)CC#N,1.97356,1.39415,0.99554,3.9452,85.55,-0.299,0.0329,0.3319,1298.7478,0.193955,-367.228777,-367.219084,-367.218139,-367.263508,36.169
gdb_130128,NC1=NNC(=N1)C1CN1,4.25711,1.0906,0.92627,0.8829,72.7,-0.2125,0.0106,0.2231,1233.6644,0.128112,-430.250966,-430.243152,-430.242208,-430.283701,29.333
gdb_81213,CC1C2CC11CC=CC21,2.85273,1.59207,1.42928,0.2893,87.88,-0.2373,0.0181,0.2554,1037.6942,0.18462,-349.89155,-349.884189,-349.883244,-349.922806,31.013
gdb_86476,CN1CC(C1)(C#C)C#C,2.32285,1.33978,0.98018,1.0177,85.72,-0.2212,0.0286,0.2498,1254.2772,0.144482,-364.709427,-364.699987,-364.699043,-364.743387,35.45
gdb_62825,CC1(O)C2CC1(C2)C=O,2.34648,1.45942,1.32357,3.449,76.88,-0.2395,-0.0263,0.2132,1081.5834,0.157483,-422.982857,-422.973985,-422.973041,-423.016422,33.669
gdb_83065,OC1C2CC=CC12C#C,2.74089,1.4556,1.23738,1.5737,80.78,-0.2244,-0.0001,0.2242,1063.2862,0.135304,-384.648217,-384.640168,-384.639224,-384.680346,31.973
gdb_55634,CC(=O)NC(C)(C)C#C,2.74034,1.07717,0.93444,2.988,82.28,-0.2434,0.0273,0.2707,1352.5537,0.166705,-403.156661,-403.145614,-403.14467,-403.194174,39.708
gdb_51692,N=COC1CC(=O)CO1,3.80156,0.95871,0.92484,3.6043,67.36,-0.2573,-0.0349,0.2224,1288.1084,0.123489,-475.042598,-475.034238,-475.033294,-475.076871,29.678
gdb_8068,COC1C2CC1(C)C2,3.41179,1.68444,1.41013,0.84,76.29,-0.2477,0.0991,0.3468,989.6966,0.176707,-348.952387,-348.944243,-348.943298,-348.984766,30.928
gdb_78413,OC1C2C1C1C2CC1=O,3.12907,1.34085,1.19403,1.7893,71.6,-0.2302,-0.0246,0.2056,1066.8017,0.13537,-421.776856,-421.769349,-421.768404,-421.808756,29.862
gdb_77109,OC1C(CC11CO1)C#C,3.35331,1.11477,0.9309,1.5303,75.95,-0.2494,0.043,0.2924,1248.0991,0.133489,-421.753519,-421.74472,-421.743776,-421.786986,33.188
gdb_101771,CC(CO)COC(C)=O,4.22956,0.65929,0.60493,1.2428,76.46,-0.2668,0.0182,0.285,1858.0215,0.179003,-461.40114,-461.389833,-461.388889,-461.439395,38.46
gdb_28589,NC1=CC=C(O1)C1CO1,3.86302,1.1223,0.92358,2.0065,75.56,-0.1865,0.0185,0.205,1237.0975,0.124834,-437.88675,-437.87872,-437.877776,-437.919743,29.993
gdb_76175,CC1C(C)(N)C1(O)C#N,2.09354,1.44767,1.21041,6.1114,77.4,-0.2454,0.0257,0.271,1150.2805,0.157434,-419.206877,-419.19689,-419.195946,-419.240994,37.21
gdb_29612,c1c(c(co1)N)CC=O,3.20346,1.24067,0.95079,1.7103,72.13,-0.1958,-0.0321,0.1638,1181.8075,0.124012,-437.912975,-437.904392,-437.903448,-437.946846,31.265
gdb_85017,CC1NC(=N)N(C)C1=O,2.32696,1.71259,1.07111,3.012,75.72,-0.2389,0.0036,0.2425,1130.3232,0.148706,-435.336225,-435.327166,-435.326222,-435.370035,33.021
gdb_54330,NC(=O)C1(CC1)OC=N,2.49542,1.3525,0.99805,1.1926,71.17,-0.2506,0.0059,0.2565,1189.9599,0.134916,-455.162397,-455.153282,-455.152337,-455.196724,33.42
gdb_39792,C1CC11C2OC1C21CO1,3.50524,1.43084,1.17165,3.3227,73.19,-0.2412,0.0678,0.309,1057.1419,0.134648,-421.69327,-421.685942,-421.684998,-421.724836,29.31
gdb_96711,CN=C(C#C)OC1CC1,2.94842,1.03196,0.81385,0.6436,83.78,-0.2464,-0.0239,0.2225,1432.9671,0.144496,-401.894125,-401.884409,-401.883464,-401.929477,34.796
gdb_71116,CC12CC3C(O1)C3C=C2,2.94052,1.91883,1.63986,1.2071,78.22,-0.2234,0.0179,0.2413,910.5012,0.161502,-385.902272,-385.895455,-385.894511,-385.932779,29.435
gdb_57793,CC(O)C#CC1CCC1,4.56677,0.61575,0.56623,1.8746,90.23,-0.2447,0.0362,0.2809,2005.146,0.181372,-387.053089,-387.042915,-387.041971,-387.090908,36.552
gdb_113142,CC#CC1(C)CC1CO,2.04214,1.0072,0.74789,1.4605,89.47,-0.2273,0.0578,0.2852,1603.1367,0.179446,-387.054261,-387.043188,-387.042244,-387.091714,38.84
gdb_70189,CC12CC1NC(=O)CC2,3.37668,1.26327,1.08377,3.8333,79.55,-0.2285,0.0311,0.2596,1172.7389,0.172562,-403.190748,-403.182427,-403.181483,-403.223332,32.96
gdb_11900,CC1=NCC2(O1)CC2,4.67811,1.60372,1.34395,1.3577,69.73,-0.2297,0.031,0.2607,952.0884,0.14226,-363.875341,-363.867825,-363.86688,-363.907355,28.174
gdb_69029,OC12CC1(NC2=N)C#C,2.75809,1.38672,1.18048,2.0766,77.69,-0.2174,-0.0072,0.2103,1071.1471,0.110832,-416.728342,-416.719957,-416.719013,-416.761112,32.204
gdb_54817,NC(=O)C1C2C=CCN12,3.11797,1.44821,1.32388,3.0335,73.79,-0.2195,0.0092,0.2287,1016.6622,0.137222,-418.01311,-418.00523,-418.004286,-418.045873,30.335
gdb_84799,CC1N=COC1C(N)=O,2.68002,1.47602,1.199,4.2736,68.7,-0.2444,0.0101,0.2545,1067.1478,0.13644,-455.190501,-455.18174,-455.180796,-455.224593,31.822
gdb_109130,CCC1=CNC(=O)NC1,4.17249,0.96571,0.84373,3.5139,80.25,-0.2045,0.0163,0.2208,1390.924,0.161006,-419.271295,-419.262161,-419.261216,-419.30607,33.284
gdb_28609,OC1=NC=C(N1)C1CN1,5.04363,0.9773,0.86002,2.5263,71.7,-0.2058,0.0377,0.2435,1295.3597,0.126916,-434.076882,-434.069051,-434.068107,-434.110029,29.324
gdb_84587,CC1N=CN2CC(=O)C12,2.45146,1.89933,1.23528,1.4484,72.99,-0.2431,-0.0379,0.2052,1005.6209,0.136848,-418.013313,-418.00563,-418.004686,-418.045787,29.043
gdb_95826,CC1CCCC(C)CC1,2.608,1.11254,0.85308,0.0764,95.86,-0.2944,0.0813,0.3757,1504.9344,0.254258,-353.5862,-353.576351,-353.575407,-353.620322,38.99
gdb_116929,CCCC#CC1CCC1,6.98291,0.48595,0.47814,0.0547,98.09,-0.2356,0.0581,0.2937,2424.1742,0.205234,-351.130057,-351.119637,-351.118693,-351.168224,37.172
gdb_50529,O=CC1CCC1C1CO1,2.33447,1.40345,1.01196,4.0143,75.69,-0.2408,-0.0175,0.2233,1204.6552,0.158416,-422.99668,-422.987962,-422.987018,-423.031111,31.684
gdb_101944,CCC(C1CO1)C1CO1,2.32014,1.23221,0.94052,2.2643,78.17,-0.2624,0.0766,0.339,1321.8959,0.181181,-424.176686,-424.167113,-424.166168,-424.21203,34.707
gdb_61249,CC1OC1C(O)CC#N,3.34449,0.8376,0.79968,4.6594,73.15,-0.2784,0.0272,0.3056,1480.853,0.145123,-439.076239,-439.06636,-439.065416,-439.111976,34.758
gdb_116399,CCN1CCCOC1=O,2.63569,1.42469,1.02321,4.9457,76.02,-0.2373,0.0572,0.2945,1210.3297,0.172574,-440.340284,-440.331396,-440.330452,-440.374471,32.556
gdb_25857,CC(=O)c1coc(=O)[nH]1,4.2865,1.08208,0.86865,4.2429,67.14,-0.238,-0.0665,0.1714,1239.7661,0.100265,-473.902889,-473.894662,-473.893718,-473.936924,29.047
gdb_46629,C1CN2C(=O)COC2=N1,3.11525,1.70578,1.12555,0.9069,68.35,-0.2443,-0.0067,0.2376,1011.7647,0.115847,-454.000284,-453.993224,-453.992279,-454.032312,25.851
